,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
33,Bucknell,12,3,9,.250,-8.59,1.41,,,,,1,3,,2,6,,747,867,,65.0,111.2,.277,.452,.571,52.8,61.5,11.2,11.2,.548,14.4,29.7,.197
34,Buffalo,11,1,10,.091,-12.65,2.65,,,,,1,4,,0,4,,744,891,,72.0,112.5,.299,.381,.574,48.6,56.0,12.8,10.2,.557,13.4,28.0,.196
35,Butler,13,10,3,.769,14.44,3.19,,1,1,,8,0,,0,2,,1081,920,,70.0,97.5,.209,.391,.496,48.2,49.0,9.7,10.5,.475,15.1,29.4,.141
36,Cal Poly,12,4,8,.333,-11.54,-2.35,,,,,3,1,,0,6,,781,864,,65.8,106.0,.422,.351,.538,53.5,46.4,8.6,8.8,.498,15.4,32.6,.296
37,Cal State Bakersfield,11,5,6,.455,-9.13,-2.02,,,,,4,0,,0,5,,785,768,,67.1,104.1,.377,.400,.541,48.9,51.0,6.1,5.0,.504,17.1,33.3,.267
38,Cal State Fullerton,12,7,5,.583,-7.62,-0.32,,,,,4,0,,2,4,,815,808,,67.9,99.1,.294,.402,.516,50.4,54.1,10.2,8.9,.488,16.7,29.8,.201
39,Cal State Northridge,12,9,3,.750,-2.81,-8.61,,,,,5,1,,4,2,,962,835,,75.7,91.9,.357,.463,.496,41.7,58.8,10.8,7.3,.457,16.9,22.0,.246
40,California,11,4,7,.364,1.12,1.03,,,,,4,2,,0,1,,836,835,,68.0,107.9,.344,.379,.551,46.5,43.9,9.2,8.4,.510,13.3,27.0,.261
41,California Baptist,11,7,4,.636,-0.69,-3.25,,1,1,,5,3,,2,1,,774,724,,67.8,97.2,.261,.288,.512,45.6,43.2,7.9,8.4,.481,15.0,22.0,.189
42,Campbell,12,6,6,.500,-9.29,-3.96,,,,,6,2,,0,4,,814,753,,65.0,95.6,.261,.402,.493,50.2,52.0,10.4,7.9,.459,17.2,30.4,.191
43,Canisius,12,6,6,.500,1.22,1.22,,1,1,,3,1,,1,4,,924,884,,71.5,103.0,.336,.315,.512,49.0,44.5,9.4,11.0,.482,14.2,32.0,.224
44,Central Arkansas,13,3,10,.231,-16.43,-5.85,,,,,2,4,,1,6,,899,983,,70.0,108.0,.371,.406,.548,52.4,50.6,11.1,7.3,.519,15.5,33.7,.250
45,Central Connecticut State,12,5,7,.417,-7.76,-4.49,,,,,2,2,,3,5,,856,835,,69.6,100.0,.308,.350,.529,51.5,57.1,10.4,6.9,.504,17.0,28.9,.203
46,Central Florida,11,8,3,.727,9.43,-2.29,,,,,6,2,,0,1,,845,716,,71.4,90.1,.401,.377,.502,46.0,53.4,10.7,8.5,.453,20.1,24.5,.289
47,Central Michigan,11,5,6,.455,-10.90,0.50,,,,,3,1,,1,4,,750,840,,69.3,110.1,.299,.409,.569,51.9,57.7,9.7,7.9,.534,16.3,32.6,.232
48,Charleston Southern,12,4,8,.333,-15.26,-1.71,,,,,4,2,,0,6,,861,883,,68.3,107.7,.336,.291,.531,51.1,41.2,9.8,4.9,.495,12.4,30.1,.241
49,Charlotte,11,6,5,.545,6.06,4.16,,,,,5,1,,0,2,,749,683,,63.3,97.0,.289,.368,.507,49.5,47.5,8.2,7.5,.470,15.9,25.7,.213
